n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,1,1000000,10000000,1788076,8984897,2,-95,1,-95.0
6,1,1000000,10000000,1747647,3799607,2,-27,1,-27.0
6,1,1000000,10000000,6245110,7210991,2,-3,1,-3.0
6,1,1000000,10000000,7516193,8211633,2,-27,1,-27.0
6,1,1000000,10000000,1171934,6213492,2,-143,1,-143.0
6,1,1000000,10000000,1447730,2163418,2,-23,1,-23.0
6,1,1000000,10000000,3125125,8208817,2,-191,1,-191.0
6,1,1000000,10000000,3410599,4516369,2,-23,1,-23.0
6,1,1000000,10000000,3801781,8489506,2,-15,1,-15.0
6,1,1000000,10000000,1644058,2235498,2,-47,1,-47.0
6,1,1000000,10000000,5300104,7526658,3,34,1,34.0
6,1,1000000,10000000,3127133,3661540,2,-47,1,-47.0
6,1,1000000,10000000,1394450,2043389,2,-15,1,-15.0
6,1,1000000,10000000,2996751,6756517,2,-95,1,-95.0
6,1,1000000,10000000,6020325,6859273,2,-7,1,-7.0
6,1,1000000,10000000,5510082,6058865,2,-15,1,-15.0
6,1,1000000,10000000,1340043,3421362,3,-4,1,-4.0
6,1,1000000,10000000,2165430,6494527,2,-15,1,-15.0
6,1,1000000,10000000,4722399,9005591,2,-31,1,-31.0
6,1,1000000,10000000,6671875,9102219,2,-7,1,-7.0
6,1,1000000,10000000,4821839,9421490,2,-7,1,-7.0
6,1,1000000,10000000,1701313,3993827,3,2881,1,2881.0
6,1,1000000,10000000,3435687,7479101,2,-31,1,-31.0
6,1,1000000,10000000,3468265,9729817,2,-23,1,-23.0
6,1,1000000,10000000,2689845,4252363,2,-31,1,-31.0
6,1,1000000,10000000,1393728,2607767,3,359,1,359.0
6,1,1000000,10000000,8196032,9923875,2,-15,1,-15.0
6,1,1000000,10000000,1147353,6494861,2,-7,1,-7.0
6,1,1000000,10000000,1489641,6879163,2,-95,1,-95.0
6,1,1000000,10000000,6016042,6569057,2,-127,1,-127.0
6,1,1000000,10000000,3814598,6616438,2,-95,1,-95.0
6,1,1000000,10000000,3198181,5714863,2,-15,1,-15.0
6,1,1000000,10000000,5135712,7172138,3,148,1,148.0
6,1,1000000,10000000,4532849,5497394,2,-9,1,-9.0
6,1,1000000,10000000,1733201,8847580,2,-15,1,-15.0
6,1,1000000,10000000,9141623,9144572,3,148,1,148.0
6,1,1000000,10000000,4520509,8958188,3,43,1,43.0
6,1,1000000,10000000,1872897,4660837,2,-39,1,-39.0
6,1,1000000,10000000,2478114,6204554,2,-83,1,-83.0
6,1,1000000,10000000,1175531,1275578,2,-23,1,-23.0
6,1,1000000,10000000,6796929,7351270,2,-7,1,-7.0
6,1,1000000,10000000,5250095,9095960,2,-15,1,-15.0
6,1,1000000,10000000,2710418,8464273,2,-19,1,-19.0
6,1,1000000,10000000,1313256,7909962,2,-31,1,-31.0
6,1,1000000,10000000,1322527,4095399,2,-119,1,-119.0
6,1,1000000,10000000,1016856,2689345,2,-15,1,-15.0
6,1,1000000,10000000,2794785,6864065,2,-7,1,-7.0
6,1,1000000,10000000,2614769,3598044,2,-127,1,-127.0
6,1,1000000,10000000,3928585,9019525,2,-3,1,-3.0
6,1,1000000,10000000,3134383,5557042,3,685,1,685.0
6,1,1000000,10000000,7134244,9954484,2,-19,1,-19.0
6,1,1000000,10000000,5111720,7694645,2,-23,1,-23.0
6,1,1000000,10000000,8897021,9487833,2,-47,1,-47.0
6,1,1000000,10000000,6232238,8910213,2,-191,1,-191.0
6,1,1000000,10000000,1987664,5224821,2,-95,1,-95.0
6,1,1000000,10000000,4358282,4487118,3,-4,1,-4.0
6,1,1000000,10000000,2731209,5684624,2,-95,1,-95.0
6,1,1000000,10000000,5602064,8106803,4,30,1,30.0
6,1,1000000,10000000,2415515,6534834,2,-47,1,-47.0
