i,log2_a_plus_1,log2_q
366,1.000000,765.671099
367,3.169925,768.758733
368,3.169925,771.779792
369,1.000000,771.947392
370,1.000000,772.866024
371,1.000000,773.478622
372,1.584963,774.886800
373,3.169925,777.953197
374,1.000000,778.115894
375,4.954196,783.065119
376,2.000000,784.665564
377,4.807355,789.437966
378,1.000000,789.489811
379,1.000000,790.464122
380,1.584963,791.791224
381,2.321928,793.928258
382,2.807355,796.566876
383,1.000000,796.781724
384,1.000000,797.678296
385,1.000000,798.298565
386,1.584963,799.704856
387,2.000000,801.460718
388,1.000000,801.834891
389,1.000000,802.659901
390,1.000000,803.305583
391,1.000000,804.018567
392,1.000000,804.705679
393,2.000000,806.562105
394,1.584963,807.748707
395,1.000000,808.274111
396,1.000000,809.035195
397,1.000000,809.704270
398,1.584963,811.098735
399,1.000000,811.563806
400,1.000000,812.349930
401,2.807355,815.067996
402,1.000000,815.272109
403,2.807355,818.052014
404,2.584963,820.415354
405,1.584963,821.549141
406,1.584963,822.845286
407,3.000000,825.734217
408,1.000000,825.916914
409,4.392317,830.301036
410,1.000000,830.368524
411,1.584963,831.931340
412,4.754888,836.650440
413,2.321928,838.664069
414,4.087463,842.686229
415,1.584963,843.729956
416,1.584963,845.043244
417,4.392317,849.393911
418,1.584963,850.428841
419,1.000000,851.002254
420,2.321928,853.226302
421,3.906891,857.055547
422,1.000000,857.153633
423,2.000000,859.129730
424,1.000000,859.456470
425,1.000000,860.302330
426,3.584963,863.832948
427,3.584963,867.303684
428,1.000000,867.428276
429,1.584963,868.972892
430,3.321928,872.196745
431,1.000000,872.343445
432,1.584963,873.881146
433,2.321928,876.000314
434,1.000000,876.299183
435,3.906891,880.187964
436,1.000000,880.282212
437,2.000000,882.259221
438,2.321928,884.348046
439,1.000000,884.652642
440,1.000000,885.508368
441,1.584963,886.860328
442,2.000000,888.622362
443,1.000000,888.995127
444,1.000000,889.820750
445,2.584963,892.296935
446,1.000000,892.535378
447,2.000000,894.479359
448,6.714246,901.183400
449,1.584963,902.190302
450,1.584963,903.510852
451,4.754888,908.233339
452,2.000000,909.836403
453,1.000000,910.246937
454,1.584963,911.707598
455,3.459432,915.081013
456,1.584963,916.148992
457,1.000000,916.711649
458,1.000000,917.457578
459,1.000000,918.132295
460,1.000000,918.834026
461,5.857981,924.682395
462,1.000000,924.707220
463,1.000000,925.694861
464,3.584963,929.218962
465,2.584963,931.565756
466,2.000000,933.242286
467,1.000000,933.634971
468,2.000000,935.546360
469,3.000000,938.407489
470,2.584963,940.768592
471,1.000000,941.025170
472,1.000000,941.902578
473,1.000000,942.529573
474,3.169925,945.641860
475,1.584963,946.722954
476,1.000000,947.281388
477,1.000000,948.029024
478,2.000000,949.875248
479,1.000000,950.229270
480,1.000000,951.063091
481,2.584963,953.538446
482,1.000000,953.777016
483,1.000000,954.662657
484,1.000000,955.286755
485,3.700440,958.947686
486,3.169925,961.961874
487,1.000000,962.130229
488,1.584963,963.661227
489,1.000000,964.089946
490,2.584963,966.611731
491,4.857981,971.428030
492,1.584963,972.453408
493,1.000000,973.029961
494,4.000000,976.999946
495,4.954196,981.909902
496,1.000000,981.957109
497,1.584963,983.526507
498,1.584963,984.751133
499,2.321928,986.897759
500,4.906891,991.766931
501,2.000000,993.368255
502,2.000000,995.103593
503,4.247928,999.297391
504,1.000000,999.374147
505,3.584963,1002.952867
506,1.584963,1004.012011
507,1.584963,1005.322303
508,5.700440,1011.006090
509,1.000000,1011.033887
510,1.000000,1012.020055
511,1.000000,1012.609643
512,2.000000,1014.483272
513,1.000000,1014.831376
514,1.000000,1015.667798
515,1.000000,1016.309372
516,5.832890,1022.133147
517,4.807355,1026.888978
518,1.000000,1026.941412
519,1.000000,1027.915433
520,1.000000,1028.509107
521,2.000000,1030.381996
522,1.000000,1030.730258
523,1.000000,1031.566610
524,2.807355,1034.280319
525,1.000000,1034.485008
526,1.000000,1035.386290
527,4.392317,1039.746332
528,3.169925,1042.755087
529,1.584963,1043.842037
530,3.000000,1046.743291
531,2.321928,1048.790779
532,1.584963,1049.955504
533,1.000000,1050.487621
534,1.000000,1051.245957
535,3.000000,1054.170281
536,2.000000,1055.817242
537,1.000000,1056.217028
538,1.584963,1057.680635
539,2.321928,1059.805818
540,4.247928,1063.993999
541,1.000000,1064.071047
542,1.000000,1065.033037
543,1.584963,1066.362648
544,1.000000,1066.845884
545,3.169925,1069.969446
546,2.000000,1071.608558
547,1.584963,1072.823338
548,6.569856,1079.384524
549,1.584963,1080.392143
550,4.000000,1084.346094
551,1.000000,1084.436306
552,2.000000,1086.414277
553,1.000000,1086.740638
554,1.000000,1087.586666
