s,popcount,geometry,sequency,mean_p,ratio,corr_v2,monoids_above,cv,z,ci_lo,ci_hi,split_ok,robust
103,5,mixed,187,0.004626648034900427,1.1844218969345093,-0.2120609372059759,28,0.16569772362709045,61.49477005004883,0.004598373715998604,0.004657852574018762,True,True
105,4,mixed,228,0.005117923021316528,1.3101882934570312,-0.05760415198106623,26,0.22743330895900726,103.43109130859375,0.005082698991417044,0.0051555096896575585,False,True
109,5,mixed,219,0.0056957039050757885,1.4581001996994019,-0.034084465127695876,26,0.27592146396636963,152.75173950195312,0.0056498093994319315,0.0057319752062715956,False,False
119,6,mixed,180,0.004870053380727768,1.2467336654663086,-0.14485065494595717,29,0.18781068921089172,82.27238464355469,0.004839784489952088,0.004899676416009183,False,True
127,7,contiguous,171,0.004307200200855732,1.1026432514190674,-0.2230214219870447,27,0.09932439029216766,34.22599411010742,0.004282063052561434,0.004329914730905946,True,True
139,4,edge-loaded,158,0.005054096691310406,1.2938487529754639,-0.036133166414241476,30,0.16402074694633484,97.98273468017578,0.005023694265964291,0.00509333356655383,False,True
142,4,mixed,94,0.005106698721647263,1.3073148727416992,0.05385754193959565,25,0.2238425761461258,102.47295379638672,0.005070074648040557,0.005139113992880729,False,True
143,5,edge-loaded,161,0.005015287548303604,1.2839136123657227,-0.10732330604281756,31,0.13919010758399963,94.6698989868164,0.004981208673768466,0.005050442301698269,False,True
150,4,mixed,78,0.004219993017613888,1.0803182125091553,0.237957872062194,25,0.08316734433174133,26.781797409057617,0.004194739394663503,0.004251990079947357,True,True
154,4,mixed,110,0.004343634471297264,1.1119704246520996,0.04449068599932507,26,0.15987016260623932,37.33610534667969,0.004306613153500122,0.0043822718181482125,False,True
155,5,edge-loaded,145,0.0045442115515470505,1.163318157196045,-0.13356929108861793,26,0.12380708009004593,54.45780944824219,0.004508274334535423,0.004576169558229946,True,True
158,5,mixed,81,0.004304088186472654,1.1018465757369995,0.28249816333611494,26,0.10577424615621567,33.96034622192383,0.0042831278946851535,0.004334366039162682,True,True
162,3,mixed,121,0.006120939273387194,1.5669604539871216,0.042718780286613876,31,0.18304695188999176,189.05076599121094,0.006081001305832497,0.006163126072515884,False,True
163,4,edge-loaded,134,0.006091078277677298,1.5593160390853882,0.033381883517394795,31,0.16117393970489502,186.50177001953125,0.0060494222550562795,0.006133420018839739,False,True
168,3,alternating,25,0.006147090811282396,1.5736552476882935,0.5530162024369072,29,0.26070863008499146,191.2831268310547,0.006098866943765672,0.006196527657354431,True,False
169,4,edge-loaded,230,0.005434331484138966,1.3911888599395752,-0.03564262737901055,28,0.3064914047718048,130.44041442871094,0.005390135778842734,0.0054709715150942605,True,False
170,4,alternating,102,0.0060199955478310585,1.541118860244751,0.05273349589986443,29,0.2858022153377533,180.43399047851562,0.005986899378589324,0.006067769294754872,True,False
171,5,edge-loaded,153,0.005964425392448902,1.526892900466919,-0.10381732475695897,29,0.2684783339500427,175.69039916992188,0.005924827145457628,0.006003614063675125,True,False
172,4,mixed,38,0.004516653250902891,1.1562632322311401,0.5147075864087818,25,0.16699063777923584,52.105369567871094,0.004489972597108253,0.004546978964184921,True,True
174,5,mixed,89,0.004555931314826012,1.166318416595459,-0.03767826204947671,25,0.17630088329315186,55.45823287963867,0.00452482590016218,0.00458824390868446,True,True
178,4,mixed,118,0.00454080943018198,1.162447214126587,-0.07239551573557482,28,0.1279842108488083,54.167396545410156,0.004520544524665081,0.004569279004053604,True,True
179,5,edge-loaded,137,0.004584714770317078,1.1736869812011719,-0.05216803320700194,29,0.14897508919239044,57.915252685546875,0.004552523427898245,0.004614902338230862,True,True
180,4,mixed,54,0.004968573804944754,1.271954894065857,0.37652101224686435,31,0.12715119123458862,90.68231201171875,0.004935175646472001,0.00499412632029083,True,True
182,5,mixed,73,0.005220381077378988,1.336417555809021,0.4215428879194558,30,0.1638515144586563,112.17713165283203,0.005192330302182405,0.005253211874139285,False,True
187,6,edge-loaded,150,0.0046452623791992664,1.1891871690750122,-0.12045099362645198,25,0.17449936270713806,63.0837287902832,0.00461900970136236,0.004674087354027095,False,True
209,4,edge-loaded,242,0.005520313512533903,1.4132002592086792,-0.10310044380463819,26,0.43706437945365906,137.780029296875,0.005478167467592885,0.005578917334787548,False,False
211,5,edge-loaded,141,0.004588561598211527,1.1746717691421509,-0.10359536284950112,26,0.12104637175798416,58.24362564086914,0.004551049055449004,0.004616004298441112,True,True
213,5,edge-loaded,205,0.00473572826012969,1.2123464345932007,-0.16801172187146746,29,0.1674688458442688,70.80609893798828,0.004704771999968216,0.004758804572197879,True,True
214,5,mixed,77,0.004482613876461983,1.1475491523742676,-0.15694891873008354,25,0.19844023883342743,49.1996955871582,0.004448964687124375,0.004504570883563569,True,True
