n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
2,1000000,9,-3.5,94,1133.839965,23801,287093.713229,0.00394941,0.00394937,-3968.439877
2,1000000,10,-4.0,136,1519.107055,23801,287093.713229,0.00571405,0.00529133,-6076.428220
2,1000000,11,-4.5,1,12.372417,23801,287093.713229,0.00004202,0.00004310,-55.675878
2,1000000,12,-5.0,3061,37101.466717,23801,287093.713229,0.12860804,0.12923121,-185507.333585
2,1000000,14,-6.0,37,444.371492,23801,287093.713229,0.00155456,0.00154783,-2666.228951
2,1000000,15,-6.5,23,278.653298,23801,287093.713229,0.00096635,0.00097060,-1811.246438
2,1000000,16,-7.0,4137,51855.669163,23801,287093.713229,0.17381623,0.18062280,-362989.684144
2,1000000,18,-8.0,370,4560.703877,23801,287093.713229,0.01554557,0.01588577,-36485.631015
2,1000000,20,-9.0,304,3811.766771,23801,287093.713229,0.01277257,0.01327708,-34305.900942
2,1000000,21,-9.5,6,75.832799,23801,287093.713229,0.00025209,0.00026414,-720.411590
2,1000000,24,-11.0,1596,20304.017714,23801,287093.713229,0.06705601,0.07072261,-223344.194857
2,1000000,25,-11.5,2,25.782879,23801,287093.713229,0.00008403,0.00008981,-296.503112
2,1000000,27,-12.5,17,218.617152,23801,287093.713229,0.00071426,0.00076148,-2732.714403
2,1000000,28,-13.0,22,281.993276,23801,287093.713229,0.00092433,0.00098223,-3665.912594
2,1000000,30,-14.0,56,716.830087,23801,287093.713229,0.00235284,0.00249685,-10035.621222
2,1000000,32,-15.0,558,7250.362721,23801,287093.713229,0.02344439,0.02525434,-108755.440816
2,1000000,36,-17.0,172,2229.020039,23801,287093.713229,0.00722659,0.00776409,-37893.340669
2,1000000,40,-19.0,58,761.555921,23801,287093.713229,0.00243687,0.00265264,-14469.562502
2,1000000,42,-20.0,3,40.216720,23801,287093.713229,0.00012605,0.00014008,-804.334391
2,1000000,45,-21.5,2,26.686850,23801,287093.713229,0.00008403,0.00009296,-573.767265
2,1000000,48,-23.0,117,1553.388206,23801,287093.713229,0.00491576,0.00541074,-35727.928744
2,1000000,54,-26.0,5,67.061453,23801,287093.713229,0.00021008,0.00023359,-1743.597769
2,1000000,60,-29.0,3,40.533801,23801,287093.713229,0.00012605,0.00014119,-1175.480218
2,1000000,64,-31.0,5,67.655236,23801,287093.713229,0.00021008,0.00023566,-2097.312320
2,1000000,72,-35.0,1,13.711150,23801,287093.713229,0.00004202,0.00004776,-479.890234
3,1000000,1,0.5,1,2.197225,15962,193680.534558,0.00006265,0.00001134,1.098612
3,1000000,2,0.0,66,449.717086,15962,193680.534558,0.00413482,0.00232195,0.000000
3,1000000,3,-0.5,66,754.417350,15962,193680.534558,0.00413482,0.00389516,-377.208675
3,1000000,4,-1.0,2151,24567.880872,15962,193680.534558,0.13475755,0.12684744,-24567.880872
3,1000000,5,-1.5,6,61.361560,15962,193680.534558,0.00037589,0.00031682,-92.042340
3,1000000,6,-2.0,448,4887.606168,15962,193680.534558,0.02806666,0.02523540,-9775.212335
3,1000000,7,-2.5,2,18.209960,15962,193680.534558,0.00012530,0.00009402,-45.524899
3,1000000,8,-3.0,3837,46103.725977,15962,193680.534558,0.24038341,0.23804006,-138311.177931
3,1000000,9,-3.5,72,863.894022,15962,193680.534558,0.00451071,0.00446041,-3023.629076
