prefix_fraction,lexicographic,bidder_key0,bidder_median,bidder_p05,bidder_p95,random_median,random_p05,random_p95
4.555555555555555747e-03,1.815115558737988977e+01,1.770844447549257294e+00,2.213555559436572118e+00,1.272794446676028590e+00,3.209655561183029082e+00,1.715505558563343191e+00,1.217455557690114709e+00,2.711605560309800378e+00
4.666666666666667053e-03,1.837220300531721406e+01,1.804412795165083239e+00,2.214506612248056783e+00,1.172868316857304416e+00,3.116713009830598846e+00,1.804412795165083239e+00,1.148262687832326101e+00,2.624600429331030771e+00
4.777777777777777492e-03,1.859067078080788349e+01,1.837450019033337378e+00,2.323833847600985436e+00,1.080852952372551412e+00,3.512772095210792145e+00,1.837450019033337378e+00,1.080852952372551412e+00,3.026388266643143865e+00
4.888888888888888798e-03,1.880664882951017347e+01,1.869979287025158809e+00,2.350831103688771240e+00,1.015131612956515106e+00,3.419390696274577035e+00,1.869979287025158809e+00,1.015131612956515106e+00,2.938538879610964383e+00
5.000000000000000104e-03,1.902022198138353559e+01,1.902022198138353604e+00,2.377527747672941949e+00,9.510110990691768018e-01,3.328538846742119084e+00,1.902022198138353604e+00,9.510110990691768018e-01,2.853033297207530516e+00
5.111111111111111410e-03,1.923147037432509165e+01,1.933598923505511991e+00,2.299414936060609094e+00,9.929291769352627250e-01,3.710419555915982937e+00,1.829080062775484627e+00,9.929291769352627250e-01,2.769749809345733560e+00
5.222222222222221849e-03,1.944046980948487047e+01,1.964728331809641126e+00,2.223245217574067567e+00,1.072845075922369773e+00,3.619236400701970169e+00,1.757914823198099885e+00,1.034067543057705763e+00,2.688575611950035249e+00
5.333333333333333155e-03,1.964729207272301537e+01,1.995428101135931387e+00,2.302417039772228335e+00,1.227955754545188682e+00,3.530372794317417462e+00,1.688439162499634438e+00,1.074461285227039875e+00,2.609405978408525950e+00
5.444444444444444461e-03,1.985200522607029683e+01,2.025714818986764421e+00,2.076357689461434397e+00,1.164786020917390141e+00,3.899501026549523353e+00,1.620571855189412158e+00,1.114143150442720387e+00,2.532143523733456636e+00
5.555555555555555768e-03,2.005467387254348566e+01,2.055604071935706934e+00,2.456697549386576807e+00,1.153143747671250274e+00,3.810388035783262239e+00,1.604373909803478604e+00,1.103007062989891818e+00,2.506834234067935707e+00
5.666666666666667074e-03,2.025535939723352286e+01,2.085110526185803170e+00,2.382983458498061591e+00,1.236172669095869203e+00,3.723411653903220930e+00,1.638301127717416872e+00,1.042555263092902029e+00,2.829792856966447889e+00
5.777777777777777513e-03,2.045412018721388847e+01,2.114248000120666493e+00,2.310922232690030942e+00,1.258715088443931762e+00,3.638473302533239639e+00,1.770068093124278930e+00,9.833711628468215782e-01,2.753439255971100508e+00
5.888888888888888819e-03,2.065101183249980110e+01,2.143029529787714882e+00,2.240439962959884124e+00,1.280947196214020423e+00,3.928075717667707245e+00,1.802093013685124312e+00,9.253991151356044664e-01,2.678786912234644380e+00
6.000000000000000125e-03,2.084608731001625870e+01,2.171467428126693466e+00,2.171467428126693466e+00,1.302880456876016169e+00,3.843497347784245122e+00,1.737173942501354817e+00,8.685869712506774087e-01,2.605760913752032337e+00
6.111111111111111431e-03,2.103939715229837404e+01,2.199573338649375209e+00,2.199573338649375209e+00,1.338870727873532784e+00,3.760792240973332312e+00,1.769222033261454108e+00,9.085194224856114609e-01,2.629924644037296755e+00
6.222222222222221870e-03,2.123098960244448108e+01,2.227358284185023241e+00,2.227358284185023241e+00,1.374327451943950340e+00,3.679880229084404153e+00,1.800842868064486790e+00,9.478120358234140008e-01,2.890826709261414162e+00
6.333333333333333176e-03,2.142091075666684930e+01,2.254832711228089259e+00,2.254832711228089259e+00,1.409270444517555898e+00,3.600685985742353434e+00,1.832051577872822579e+00,1.127416355614044852e+00,2.818540889035112240e+00
6.444444444444444482e-03,2.160920469563198054e+01,2.282006530357687524e+00,2.282006530357687524e+00,1.443718417165067436e+00,3.586010261990652648e+00,1.862862473761377480e+00,1.071145922412792384e+00,2.747722148798032560e+00
6.555555555555555788e-03,2.179591360564939606e+01,2.308889153140825545e+00,2.285800261609417738e+00,1.431511274947312007e+00,3.509511512774055042e+00,1.847111322512660747e+00,1.015911227381963489e+00,2.678311417643358006e+00
6.666666666666667095e-03,2.198107789065175766e+01,2.335489525881748740e+00,2.266798657473461986e+00,1.373817368165735076e+00,3.434543420414337245e+00,1.785962578615455376e+00,9.616721577160145529e-01,2.610252999514896199e+00
6.777777777777777533e-03,2.216473627580716865e+01,2.361816160536829301e+00,2.361816160536829301e+00,1.317166704914770392e+00,3.361046074610103407e+00,1.725942578853836951e+00,9.083908309757037225e-01,2.543494326731970290e+00
6.888888888888888840e-03,2.234692590351550123e+01,2.387877163077260612e+00,2.387877163077260612e+00,1.261520010682326776e+00,3.288962884993208213e+00,1.667008585544503152e+00,8.560314358201503993e-01,2.815892880987335811e+00
7.000000000000000146e-03,2.252768242246173003e+01,2.413680259549471074e+00,2.413680259549471074e+00,1.206840129774735537e+00,3.218240346065961432e+00,1.609120173032980716e+00,8.045600865164903581e-01,2.815960302807716253e+00
7.111111111111111452e-03,2.270704007033050686e+01,2.439232820055035056e+00,2.350533444780306791e+00,1.241791253846199483e+00,3.488102932678697865e+00,1.640938442582478007e+00,8.426440651099210699e-01,2.749680633516585093e+00
7.222222222222221891e-03,2.288503175072460394e+01,2.464541880847264999e+00,2.288503175072460927e+00,1.276280616867333517e+00,3.417351375853393769e+00,1.672367704860644011e+00,1.100241911092529445e+00,2.684590263065771421e+00
7.333333333333333197e-03,2.306168910477604328e+01,2.489614164720140632e+00,2.227549515802231372e+00,1.310323244589547853e+00,3.347875889926292814e+00,1.703420217966412187e+00,1.048258595671638371e+00,2.620646489179095706e+00
7.444444444444444503e-03,2.323704257789075456e+01,2.514456099846387183e+00,2.167634568833093134e+00,1.343933432676517103e+00,3.279631102644467333e+00,1.777460346443136219e+00,9.971119016632229437e-01,2.644514173976373339e+00
7.555555555555555809e-03,2.341112148202487120e+01,2.539073837204903317e+00,2.151757489156697734e+00,1.334089643277152737e+00,3.270671383518180431e+00,1.764441141108491928e+00,9.898084450120808730e-01,2.883355035469974847e+00
7.666666666666666248e-03,2.358395405385286026e+01,2.563473266723136579e+00,2.178952276714666070e+00,1.281736633361568511e+00,3.204341583403921057e+00,1.794431286706195561e+00,1.025389306689254543e+00,2.819820593395450548e+00
7.777777777777777554e-03,2.375556750915395199e+01,2.587660032247126818e+00,2.205874125850009637e+00,1.262014523923803866e+00,3.139128563709629116e+00,1.824088219452892679e+00,1.060516406658658539e+00,2.757342657312512380e+00
7.888888888888889728e-03,2.392598809371306956e+01,2.611639545440510801e+00,2.232530579166888351e+00,1.179450117295714806e+00,3.397237569996404805e+00,1.853421612893265902e+00,1.095203680346020558e+00,2.695885982390205271e+00
8.000000000000000167e-03,2.409524113100531295e+01,2.635416998703706160e+00,2.258928856031748200e+00,1.129464428015874100e+00,3.331920062646826164e+00,1.882440713359790241e+00,1.129464428015874100e+00,2.635416998703706160e+00
8.111111111111110605e-03,2.426335106690910592e+01,2.658997377195518652e+00,2.201982202990039106e+00,1.454139190653799485e+00,3.323746721494398759e+00,1.828060696821919295e+00,1.080217684485679674e+00,2.658997377195518652e+00
8.222222222222222779e-03,2.443034151167102763e+01,2.682385470031447117e+00,2.228443313564587136e+00,1.403093938170295818e+00,3.260130032807451617e+00,1.774501157097727155e+00,1.031686719242864703e+00,2.682385470031447117e+00
8.333333333333333218e-03,2.459623527932611609e+01,2.705585880725872361e+00,2.336642351535980211e+00,1.352792940362936625e+00,3.197510586312395375e+00,1.721736469552828552e+00,9.838494111730450298e-01,2.736331174825030299e+00
8.444444444444443656e-03,2.476105442475961738e+01,2.728603036938970661e+00,2.362074270782989593e+00,1.303213390776821745e+00,3.135857221556727303e+00,1.669742156932803034e+00,9.366846246208406779e-01,2.769328455400746236e+00
8.555555555555555830e-03,2.492482027858042315e+01,2.751441199583553043e+00,2.346817493762442641e+00,1.294795858627554308e+00,3.109533179235235867e+00,1.658957193866554158e+00,9.306345233885546797e-01,2.710978829001442048e+00
8.666666666666666269e-03,2.508755347996198637e+01,2.774104471341950262e+00,2.171038281919787316e+00,1.326745616728758792e+00,3.135944184995248296e+00,1.688585330382056604e+00,9.649059030754608690e-01,2.653491233457518028e+00
8.777777777777778442e-03,2.524927400759372986e+01,2.796596804638545208e+00,2.237277443710836700e+00,1.358347019395864663e+00,3.156159250949215345e+00,1.717909465706534800e+00,9.987845730851945270e-01,2.596839890021506836e+00
8.888888888888888881e-03,2.541000120887399305e+01,2.818922009109458671e+00,2.183671978887608667e+00,1.389609441110296606e+00,3.243745466820319834e+00,1.746937583110087067e+00,1.032281299110506145e+00,2.898328262887189588e+00
8.999999999999999320e-03,2.556975382746526648e+01,2.841083758607251930e+00,2.130812818955438726e+00,1.420541879303625965e+00,3.196219228433158310e+00,1.775677349129532345e+00,1.065406409477719363e+00,2.841083758607251930e+00
9.111111111111111494e-03,2.572855002932244517e+01,2.863085597775210989e+00,2.078678584686112440e+00,1.451152974214832803e+00,3.216068753665305646e+00,1.725695428796017783e+00,1.019729117015828690e+00,2.784644896466301311e+00
9.222222222222221932e-03,2.588640742729630873e+01,2.884930948222781399e+00,2.105219881135543147e+00,1.481451027465752635e+00,3.401489530168076314e+00,1.676378794237562753e+00,9.746388338590481482e-01,2.728988734805334548e+00
9.333333333333334106e-03,2.604334310440647116e+01,2.906623114331079005e+00,2.209033566891620115e+00,1.278914170305675224e+00,3.371682812624052339e+00,1.627708944025404891e+00,9.301193965859457791e-01,2.674093265184593449e+00
9.444444444444444545e-03,2.619937363587049717e+01,2.928165288714937642e+00,2.253916702497682500e+00,1.232911700511552633e+00,3.313450195124797659e+00,1.579668116280426915e+00,8.861552847426784618e-01,2.619937363587049539e+00
9.555555555555554983e-03,2.635451510996976054e+01,2.949560557365801916e+00,2.221746913340474361e+00,1.271758577981099148e+00,3.288568491556546292e+00,1.876993081960055765e+00,8.810375690832914497e-01,2.604806725985383320e+00
9.666666666666667157e-03,2.650878314782590195e+01,2.970811904497730360e+00,2.170977930209879947e+00,1.291160558493244404e+00,3.313597893478237744e+00,1.828191941229372786e+00,9.140959706146860597e-01,2.542329418272096131e+00
9.777777777777777596e-03,2.666219292215688341e+01,2.991922217117036098e+00,2.120856255171570393e+00,1.439152458866422846e+00,3.304369790423560715e+00,1.780004357018996508e+00,9.468108282015934574e-01,2.802560051476717717e+00
9.888888888888888035e-03,2.681475917507608742e+01,3.012894289334391296e+00,2.071364823917394737e+00,1.393463608817156585e+00,3.427167254117871042e+00,1.732414216367275772e+00,9.791906440336768380e-01,2.749266039017632668e+00
1.000000000000000021e-02,2.696649623499351378e+01,3.033730826436769945e+00,2.022487217624513445e+00,1.348324811749675556e+00,3.370812029374189223e+00,1.685406014687094611e+00,1.011243608812256722e+00,2.696649623499351112e+00
1.011111111111111065e-02,2.711741803267382167e+01,3.054434448735237950e+00,2.179078234768432321e+00,1.303722020801626247e+00,3.315178852895563466e+00,1.713463227339279804e+00,1.024353016344134781e+00,2.644693242197584393e+00
1.022222222222222282e-02,2.726753811650200987e+01,3.075007695203351599e+00,2.167324700836097406e+00,1.259641706468843214e+00,3.386213293272124059e+00,1.741269417765753280e+00,1.037351993562576347e+00,2.593379983906441755e+00
