n,m,Q_rational,Lambda_value,sign
5,9880,1,+9.1982677907,+
5,9885,1,+9.1987737356,+
5,9890,1,+9.1992794246,+
5,9895,1,+9.1997848580,+
5,9900,-8,-73.6023202890,-
5,9905,1,+9.2007949591,+
5,9910,1,+9.2012996273,+
5,9915,1,+9.2018040410,+
5,9920,1,+9.2023082003,+
5,9925,0,+0.0000000000,0
5,9930,1,+9.2033157570,+
5,9935,1,+9.2038191550,+
5,9940,1,+9.2043222997,+
5,9945,1,+9.2048251913,+
5,9950,-1,-9.2053278302,-
5,9955,1,+9.2058302165,+
5,9960,1,+9.2063323506,+
5,9965,1,+9.2068342326,+
5,9970,1,+9.2073358630,+
5,9975,-3,-27.6235117253,-
5,9980,1,+9.2083383693,+
5,9985,1,+9.2088392458,+
5,9990,1,+9.2093398716,+
5,9995,1,+9.2098402469,+
5,10000,-1/4,-2.3025850930,-
6,6,1,+1.7917594692,+
6,12,1,+2.4849066498,+
6,18,1,+2.8903717579,+
6,24,1,+3.1780538303,+
6,30,1,+3.4011973817,+
6,36,1/2,+1.7917594692,+
6,42,1,+3.7376696183,+
6,48,1,+3.8712010109,+
6,54,1,+3.9889840466,+
6,60,1,+4.0943445622,+
6,66,1,+4.1896547420,+
6,72,0,+0.0000000000,0
6,78,1,+4.3567088267,+
6,84,1,+4.4308167988,+
6,90,1,+4.4998096703,+
6,96,1,+4.5643481915,+
6,102,1,+4.6249728133,+
6,108,0,+0.0000000000,0
6,114,1,+4.7361984484,+
6,120,1,+4.7874917428,+
6,126,1,+4.8362819070,+
6,132,1,+4.8828019226,+
6,138,1,+4.9272536852,+
6,144,-1/2,-2.4849066498,-
6,150,1,+5.0106352941,+
6,156,1,+5.0498560072,+
6,162,1,+5.0875963352,+
6,168,1,+5.1239639794,+
6,174,1,+5.1590552992,+
6,180,0,+0.0000000000,0
6,186,1,+5.2257466737,+
6,192,1,+5.2574953720,+
6,198,1,+5.2882670307,+
6,204,1,+5.3181199938,+
6,210,1,+5.3471075307,+
6,216,-2/3,-3.5835189385,-
6,222,1,+5.4026773819,+
6,228,1,+5.4293456290,+
6,234,1,+5.4553211154,+
6,240,1,+5.4806389233,+
6,246,1,+5.5053315359,+
6,252,0,+0.0000000000,0
6,258,1,+5.5529595849,+
6,264,1,+5.5759491031,+
6,270,1,+5.5984219590,+
6,276,1,+5.6204008657,+
6,282,1,+5.6419070709,+
6,288,-1,-5.6629604801,-
6,294,1,+5.6835797673,+
6,300,1,+5.7037824747,+
6,306,1,+5.7235851020,+
6,312,1,+5.7430031878,+
6,318,1,+5.7620513828,+
6,324,-1/2,-2.8903717579,-
6,330,1,+5.7990926545,+
6,336,1,+5.8171111600,+
6,342,1,+5.8348107371,+
6,348,1,+5.8522024798,+
6,354,1,+5.8692969131,+
6,360,-1,-5.8861040315,-
6,366,1,+5.9026333334,+
6,372,1,+5.9188938543,+
6,378,1,+5.9348941956,+
6,384,1,+5.9506425526,+
6,390,1,+5.9661467391,+
6,396,0,+0.0000000000,0
6,402,1,+5.9964520886,+
6,408,1,+6.0112671744,+
6,414,1,+6.0258659738,+
6,420,1,+6.0402547113,+
6,426,1,+6.0544393463,+
6,432,-1,-6.0684255882,-
6,438,1,+6.0822189104,+
6,444,1,+6.0958245624,+
6,450,1,+6.1092475828,+
6,456,1,+6.1224928095,+
6,462,1,+6.1355648911,+
6,468,0,+0.0000000000,0
6,474,1,+6.1612073217,+
6,480,1,+6.1737861039,+
6,486,1,+6.1862086239,+
6,492,1,+6.1984787165,+
6,498,1,+6.2106000770,+
6,504,-1,-6.2225762681,-
6,510,1,+6.2344107257,+
6,516,1,+6.2461067655,+
6,522,1,+6.2576675879,+
6,528,1,+6.2690962837,+
6,534,1,+6.2803958390,+
6,540,-1,-6.2915691396,-
6,546,1,+6.3026189757,+
6,552,1,+6.3135480463,+
6,558,1,+6.3243589624,+
6,564,1,+6.3350542515,+
6,570,1,+6.3456363608,+
6,576,-3/2,-9.5341614910,-
6,582,1,+6.3664704477,+
6,588,1,+6.3767269479,+
6,594,1,+6.3868793194,+
6,600,1,+6.3969296552,+
6,606,1,+6.4068799861,+
6,612,0,+0.0000000000,0
6,618,1,+6.4264884575,+
6,624,1,+6.4361503684,+
6,630,1,+6.4457198194,+
6,636,1,+6.4551985633,+
6,642,1,+6.4645883037,+
6,648,-1,-6.4738906964,-
6,654,1,+6.4831073515,+
6,660,1,+6.4922398350,+
6,666,1,+6.5012896705,+
6,672,1,+6.5102583405,+
6,678,1,+6.5191472879,+
6,684,0,+0.0000000000,0
6,690,1,+6.5366915976,+
6,696,1,+6.5453496603,+
6,702,1,+6.5539334040,+
6,708,1,+6.5624440937,+
6,714,1,+6.5708829623,+
6,720,-2,-13.1585024240,-
6,726,1,+6.5875500148,+
6,732,1,+6.5957805140,+
6,738,1,+6.6039438246,+
